source,src_state,src_district,district_code,lgd_district,lgd_state,method,score
PMJAY,KARNATAKA,BELAGAVI,527,Belagavi,Karnataka,exact_state,100
PMJAY,KARNATAKA,BENGALURU RURAL,526,Bengaluru Rural,Karnataka,exact_state,100
PMJAY,KARNATAKA,BENGALURU URBAN,525,Bengaluru Urban,Karnataka,exact_state,100
PMJAY,KARNATAKA,BIDAR,529,Bidar,Karnataka,exact_state,100
PMJAY,KARNATAKA,CHAMARAJANAGARA,531,Chamarajanagara,Karnataka,exact_state,100
PMJAY,KARNATAKA,CHIKKABALLAPURA,630,Chikkaballapura,Karnataka,exact_state,100
PMJAY,KARNATAKA,CHIKKAMAGALURU,532,Chikkamagaluru,Karnataka,exact_state,100
PMJAY,KARNATAKA,CHITRADURGA,533,Chitradurga,Karnataka,exact_state,100
PMJAY,KARNATAKA,DAKSHINA KANNADA,534,Dakshina Kannada,Karnataka,exact_state,100
PMJAY,KARNATAKA,DAVANGERE,535,Davangere,Karnataka,exact_state,100
PMJAY,KARNATAKA,DHARWAD,536,Dharwad,Karnataka,exact_state,100
PMJAY,KARNATAKA,GADAG,537,Gadag,Karnataka,exact_state,100
PMJAY,KARNATAKA,HASSAN,539,Hassan,Karnataka,exact_state,100
PMJAY,KARNATAKA,HAVERI,540,Haveri,Karnataka,exact_state,100
PMJAY,KARNATAKA,KALABURAGI,538,Kalaburagi,Karnataka,exact_state,100
PMJAY,KARNATAKA,KODAGU,541,Kodagu,Karnataka,exact_state,100
PMJAY,KARNATAKA,KOLAR,542,Kolar,Karnataka,exact_state,100
PMJAY,KARNATAKA,KOPPAL,543,Koppal,Karnataka,exact_state,100
PMJAY,KARNATAKA,MANDYA,544,Mandya,Karnataka,exact_state,100
PMJAY,KARNATAKA,MYSURU,545,Mysuru,Karnataka,exact_state,100
PMJAY,KARNATAKA,RAICHUR,546,Raichur,Karnataka,exact_state,100
PMJAY,KARNATAKA,RAMANAGAR,631,Ramanagara,Karnataka,fuzzy_state,94
PMJAY,KARNATAKA,SHIVAMOGGA,547,Shivamogga,Karnataka,exact_state,100
