shapeID,shapeName,assigned_state,state_method,district_code,resolve_method,resolve_score,frame_name,frame_state
76128533B66682530790248,Kamrup,Assam,centroid,291,exact_state,100,Kamrup,Assam
76128533B38548995376745,Karbi Anglong East,Assam,centroid,292,alias_exact,100,Karbi Anglong,Assam
76128533B57995625790051,Karbi Anglong West,Assam,centroid,710,fuzzy_state,100,West Karbi Anglong,Assam
76128533B23092176497025,Karimganj,Assam,centroid,293,exact_state,100,Karimganj,Assam
76128533B91480770176940,Kokrajhar,Assam,centroid,294,exact_state,100,Kokrajhar,Assam
76128533B85627242103654,Lakhimpur,Assam,centroid,295,exact_state,100,Lakhimpur,Assam
76128533B15157901669242,Majuli,Assam,centroid,706,exact_state,100,Majuli,Assam
76128533B17968019348564,Morigaon,Assam,centroid,296,alias_exact,100,Marigaon,Assam
76128533B13437137070957,Nagaon,Assam,centroid,297,exact_state,100,Nagaon,Assam
76128533B40995085026980,Nalbari,Assam,centroid,298,exact_state,100,Nalbari,Assam
76128533B21722277889516,Sivasagar,Assam,centroid,300,exact_state,100,Sivasagar,Assam
76128533B41005496708834,Sonitpur,Assam,centroid,301,exact_state,100,Sonitpur,Assam
76128533B20298037622173,South Salmara-Mankachar,Assam,centroid,707,fuzzy_state,95,South Salmara Mancachar,Assam
76128533B8920527783032,Tinsukia,Assam,centroid,302,exact_state,100,Tinsukia,Assam
76128533B20307518801538,Udalguri,Assam,centroid,617,exact_state,100,Udalguri,Assam
76128533B4745348385341,Araria,Bihar,centroid,188,exact_state,100,Araria,Bihar
76128533B45623818137574,Arwal,Bihar,centroid,611,exact_state,100,Arwal,Bihar
76128533B21485639457044,Aurangabad,Bihar,centroid,189,exact_state,100,Aurangabad,Bihar
76128533B54517225652088,Banka,Bihar,centroid,190,exact_state,100,Banka,Bihar
76128533B5855800361016,Begusarai,Bihar,centroid,191,exact_state,100,Begusarai,Bihar
76128533B83462627230182,Bhagalpur,Bihar,centroid,192,exact_state,100,Bhagalpur,Bihar
76128533B66426066081507,Bhojpur,Bihar,centroid,193,exact_state,100,Bhojpur,Bihar
76128533B12244320360965,Buxar,Bihar,centroid,194,exact_state,100,Buxar,Bihar
