hospital_ref,district_code,state,hospital_type,basic_tier,specialties
HOSP-11229,441,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11230,609,PUNJAB,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn|ophthalmology|orthopaedics|urology
HOSP-11231,196,BIHAR,Public,True,emergency_room|general_medicine
HOSP-11232,591,TAMIL NADU,Public,False,
HOSP-11233,147,UTTAR PRADESH,Public,True,emergency_room|general_medicine
HOSP-11234,539,KARNATAKA,Public,False,
HOSP-11235,56,UTTARAKHAND,Private(For Profit),False,emergency_room|ent|general_medicine|neonatal|paediatric_medicine
HOSP-11236,150,UTTAR PRADESH,Private(For Profit),False,emergency_room|general_medicine|general_surgery|obgyn
HOSP-11237,461,GUJARAT,Private(For Profit),False,burns|cardiology|ctvs|emergency_room|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neonatal|neurosurgery|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|surgical_oncology|urology
HOSP-11238,160,UTTAR PRADESH,Public,True,general_medicine
HOSP-11239,169,UTTAR PRADESH,Public,False,ent|general_medicine|general_surgery|obgyn|ophthalmology
HOSP-11240,568,TAMIL NADU,Private(For Profit),False,
HOSP-11241,527,KARNATAKA,Public,True,emergency_room|general_medicine|general_surgery|paediatric_cancer
HOSP-11242,148,UTTAR PRADESH,Public,True,emergency_room|general_medicine|general_surgery|obgyn
HOSP-11243,387,CHHATTISGARH,Private(For Profit),False,general_surgery|neurosurgery|oral_maxillofacial|orthopaedics|plastic_surgery|polytrauma
HOSP-11244,502,ANDHRA PRADESH,Public,True,
HOSP-11245,382,CHHATTISGARH,Private(For Profit),False,general_surgery|neonatal|obgyn|paediatric_medicine
HOSP-11246,555,KERALA,Public,False,emergency_room|ent|general_medicine|obgyn|orthopaedics|paediatric_medicine
HOSP-11247,28,PUNJAB,Private(For Profit),False,neonatal|paediatric_medicine
HOSP-11248,575,TAMIL NADU,Private(For Profit),False,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|neurosurgery|obgyn|orthopaedics|paediatric_medicine|paediatric_surgery|plastic_surgery|surgical_oncology|urology
HOSP-11249,56,UTTARAKHAND,Public,False,emergency_room|general_medicine
HOSP-11250,113,RAJASTHAN,Private(For Profit),False,burns|emergency_room|ent|general_medicine|general_surgery|obgyn|orthopaedics|plastic_surgery
HOSP-11251,261,MIZORAM,Private(For Profit),False,general_medicine|general_surgery
HOSP-11252,687,TELANGANA,Public,True,
HOSP-11253,33,PUNJAB,Private(Not For Profit),False,general_surgery|urology
HOSP-11254,641,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11255,162,UTTAR PRADESH,Private(For Profit),False,burns|ent|general_medicine|general_surgery|medical_oncology|neonatal|neurosurgery|orthopaedics|paediatric_medicine|plastic_surgery|polytrauma|surgical_oncology|urology
HOSP-11256,246,NAGALAND,Public,True,burns|emergency_room|ent|general_medicine|general_surgery|neonatal|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_medicine|plastic_surgery
HOSP-11257,441,GUJARAT,Public,True,burns|cardiology|ctvs|emergency_room|ent|general_medicine|general_surgery|interventional_neuroradiology|medical_oncology|mental_disorders|neonatal|neurosurgery|obgyn|ophthalmology|oral_maxillofacial|orthopaedics|paediatric_cancer|paediatric_medicine|paediatric_surgery|plastic_surgery|polytrauma|radiation_oncology|surgical_oncology|urology
HOSP-11258,439,GUJARAT,,False,emergency_room|general_medicine|general_surgery|obgyn|orthopaedics|paediatric_medicine
HOSP-11259,454,GUJARAT,,False,general_medicine|neonatal|paediatric_medicine
